ID;Endereço;Bairro;Zona;Piscina;Portaria 24h;Tamanho;Academia;bed;char;couch;microwave;sink;toilet;tv;oven
ACL11;Alameda Campinas, 708;Jardim Paulista;Oeste;0;1;40;1;0;0;0;0;0;0;0;0
ACL22;Alameda Campinas, 708;Jardim Paulista;Oeste;0;1;40;1;0;0;0;0;0;0;0;0
AFF255;Alameda Campinas, 708;Jardim Paulista;Oeste;0;1;40;1;0;0;0;0;0;0;0;0
CA1004;Alameda Campinas, 708;Jardim Paulista;Oeste;0;1;28;1;0;0;0;0;0;0;0;0
CA1107;Alameda Campinas, 708;Jardim Paulista;Oeste;0;1;28;1;0;0;0;0;0;0;0;0
CA1302;Alameda Campinas, 708;Jardim Paulista;Oeste;0;1;28;1;0;0;0;0;0;0;0;0
FL061;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL112;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL113;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL115A;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL115B;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL116;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL123;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL135;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL136;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL143;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL144;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL145;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL152;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL153;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL154;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
FL155;R. Cel. Joaquim Ferreira Lôbo, 305;Vila Olímpia;Sul;1;1;28;1;0;0;0;0;0;0;0;0
