ID_origen;L_ORIGEM;ID_DESTINO;L_DESTINO;DISTANCIA;TEMPO
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao jabaquara;Term. Jabaquara  São Paulo  Brazil;10269;7710
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao conceicao;Conceição  Vila Guarani  Sao Paulo - São Paulo  Brazil;9979;7386
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao sao-judas;São Judas  São Paulo  Brazil;7932;5918
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao saude;Saúde  Sao Paulo - São Paulo  Brazil;6967;5198
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao praca-arvore;Praça Da Árvore  São Paulo  Brazil;6065;4542
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao santa-cruz;Santa Cruz  São Paulo  Brazil;4719;3549
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vila-mariana;Vila Mariana  São Paulo  Brazil;3738;2843
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao ana-rosa;Ana Rosa  São Paulo  Brazil;2664;2042
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao paraiso;Estação Paraíso  São Paulo  Brazil;2007;1560
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vergueiro;Vergueiro  São Paulo  Brazil;5155;3784
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao sao-joaquim;São Joaquim  São Paulo  Brazil;2222;1658
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçaoliberdade;Estação Liberdade do Metro  São Paulo  Brazil;3043;2222
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao se;Praça da Sé  Centro  Sao Paulo - São Paulo  Brazil;3243;2391
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao sao-bento;São Bento  São Paulo  Brazil;3883;2837
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao luz;Estação Luz do Metrô - Avenida Cásper Líbero  Luz  Sao Paulo - São Paulo  Brazil;4666;3490
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao tiradentes;Tiradentes  Luz  Sao Paulo - São Paulo  Brazil;5438;4027
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao armenia;Armênia  Luz  Sao Paulo - São Paulo  Brazil;6026;4364
